name,user_score,user_count
Wii Sports,8.0,322.0
Mario Kart Wii,8.3,709.0
Wii Sports Resort,8.0,192.0
New Super Mario Bros.,8.5,431.0
Wii Play,6.6,129.0
New Super Mario Bros. Wii,8.4,594.0
Mario Kart DS,8.6,464.0
Wii Fit,7.7,146.0
Kinect Adventures!,6.3,106.0
Wii Fit Plus,7.4,52.0
Grand Theft Auto V,8.2,3994.0
Grand Theft Auto: San Andreas,9.0,1588.0
Brain Age: Train Your Brain in Minutes a Day,7.9,50.0
Grand Theft Auto V,8.1,3711.0
Grand Theft Auto: Vice City,8.7,730.0
Brain Age 2: More Training in Minutes a Day,7.1,19.0
Gran Turismo 3: A-Spec,8.4,314.0
Call of Duty: Modern Warfare 3,3.4,8713.0
Call of Duty: Black Ops,6.3,1454.0
Call of Duty: Black Ops II,5.3,922.0
Call of Duty: Black Ops II,4.8,2256.0
Call of Duty: Modern Warfare 2,6.3,2698.0
Call of Duty: Modern Warfare 3,3.2,5234.0
Grand Theft Auto III,8.5,664.0
Super Smash Bros. Brawl,8.9,1662.0
Mario Kart 7,8.2,632.0
Call of Duty: Black Ops,6.4,1094.0
Grand Theft Auto V,8.3,2899.0
Animal Crossing: Wild World,8.7,242.0
Halo 3,7.8,4100.0
Gran Turismo 4,8.5,272.0
Super Mario Galaxy,8.9,2147.0
Grand Theft Auto IV,7.9,2951.0
Gran Turismo,8.7,138.0
Super Mario 3D Land,8.4,921.0
Gran Turismo 5,7.5,1112.0
Call of Duty: Modern Warfare 2,6.3,2073.0
Grand Theft Auto IV,7.5,2833.0
Call of Duty: Ghosts,2.6,2117.0
Just Dance 3,7.8,16.0
New Super Mario Bros. 2,7.2,424.0
Halo: Reach,7.9,2045.0
Final Fantasy VII,9.2,1282.0
Halo 4,7.0,3260.0
Gran Turismo 2,9.0,135.0
Just Dance 2,7.3,24.0
Call of Duty: Ghosts,2.6,1047.0
Call of Duty 4: Modern Warfare,8.4,1320.0
Animal Crossing: New Leaf,8.7,626.0
Mario Party DS,7.8,85.0
The Elder Scrolls V: Skyrim,8.4,3589.0
FIFA 16,4.3,896.0
Halo 2,8.2,1218.0
Wii Party,7.4,54.0
Mario Party 8,6.3,190.0
FIFA Soccer 13,6.6,348.0
Final Fantasy X,8.7,1056.0
The Sims 3,7.6,886.0
Final Fantasy VIII,8.6,644.0
Pokémon Platinum Version,8.5,203.0
Grand Theft Auto: Liberty City Stories,7.6,451.0
Call of Duty: Advanced Warfare,5.7,1443.0
FIFA 17,5.0,398.0
Super Mario Galaxy 2,9.1,1854.0
Call of Duty: World at War,7.6,580.0
Battlefield 3,7.4,2142.0
Need for Speed Underground,8.6,171.0
Just Dance,8.0,110.0
Battlefield 3,7.5,1761.0
Fallout 4,6.5,4228.0
Tekken 3,9.1,367.0
The Legend of Zelda: Twilight Princess,9.0,1658.0
Crash Bandicoot 3: Warped,8.9,432.0
Mario Kart 8,9.1,1599.0
Super Smash Bros. Melee,9.1,568.0
Need for Speed Underground 2,8.6,132.0
Medal of Honor: Frontline,8.5,135.0
Just Dance 4,7.3,28.0
Gears of War 2,7.7,2739.0
Uncharted 3: Drake's Deception,8.3,3712.0
Call of Duty 4: Modern Warfare,8.4,993.0
Uncharted 2: Among Thieves,8.8,5187.0
Big Brain Academy,7.4,27.0
Red Dead Redemption,8.8,2456.0
FIFA 14,4.3,576.0
