name,genre,platform,year_of_release,publisher,rating
Wii Sports,Sports,Wii,2006.0,Nintendo,E
Mario Kart Wii,Racing,Wii,2008.0,Nintendo,E
Wii Sports Resort,Sports,Wii,2009.0,Nintendo,E
New Super Mario Bros.,Platform,DS,2006.0,Nintendo,E
Wii Play,Misc,Wii,2006.0,Nintendo,E
New Super Mario Bros. Wii,Platform,Wii,2009.0,Nintendo,E
Mario Kart DS,Racing,DS,2005.0,Nintendo,E
Wii Fit,Sports,Wii,2007.0,Nintendo,E
Kinect Adventures!,Misc,X360,2010.0,Microsoft Game Studios,E
Wii Fit Plus,Sports,Wii,2009.0,Nintendo,E
Grand Theft Auto V,Action,PS3,2013.0,Take-Two Interactive,M
Grand Theft Auto: San Andreas,Action,PS2,2004.0,Take-Two Interactive,M
Brain Age: Train Your Brain in Minutes a Day,Misc,DS,2005.0,Nintendo,E
Grand Theft Auto V,Action,X360,2013.0,Take-Two Interactive,M
Grand Theft Auto: Vice City,Action,PS2,2002.0,Take-Two Interactive,M
Brain Age 2: More Training in Minutes a Day,Puzzle,DS,2005.0,Nintendo,E
Gran Turismo 3: A-Spec,Racing,PS2,2001.0,Sony Computer Entertainment,E
Call of Duty: Modern Warfare 3,Shooter,X360,2011.0,Activision,M
Call of Duty: Black Ops,Shooter,X360,2010.0,Activision,M
Call of Duty: Black Ops II,Shooter,PS3,2012.0,Activision,M
Call of Duty: Black Ops II,Shooter,X360,2012.0,Activision,M
Call of Duty: Modern Warfare 2,Shooter,X360,2009.0,Activision,M
Call of Duty: Modern Warfare 3,Shooter,PS3,2011.0,Activision,M
Grand Theft Auto III,Action,PS2,2001.0,Take-Two Interactive,M
Super Smash Bros. Brawl,Fighting,Wii,2008.0,Nintendo,T
Mario Kart 7,Racing,3DS,2011.0,Nintendo,E
Call of Duty: Black Ops,Shooter,PS3,2010.0,Activision,M
Grand Theft Auto V,Action,PS4,2014.0,Take-Two Interactive,M
Animal Crossing: Wild World,Simulation,DS,2005.0,Nintendo,E
Halo 3,Shooter,X360,2007.0,Microsoft Game Studios,M
Gran Turismo 4,Racing,PS2,2004.0,Sony Computer Entertainment,E
Super Mario Galaxy,Platform,Wii,2007.0,Nintendo,E
Grand Theft Auto IV,Action,X360,2008.0,Take-Two Interactive,M
Gran Turismo,Racing,PS,1997.0,Sony Computer Entertainment,E
Super Mario 3D Land,Platform,3DS,2011.0,Nintendo,E
Gran Turismo 5,Racing,PS3,2010.0,Sony Computer Entertainment,E
Call of Duty: Modern Warfare 2,Shooter,PS3,2009.0,Activision,M
Grand Theft Auto IV,Action,PS3,2008.0,Take-Two Interactive,M
Call of Duty: Ghosts,Shooter,X360,2013.0,Activision,M
Just Dance 3,Misc,Wii,2011.0,Ubisoft,E10+
New Super Mario Bros. 2,Platform,3DS,2012.0,Nintendo,E
Halo: Reach,Shooter,X360,2010.0,Microsoft Game Studios,M
Final Fantasy VII,Role-Playing,PS,1997.0,Sony Computer Entertainment,T
Halo 4,Shooter,X360,2012.0,Microsoft Game Studios,M
Gran Turismo 2,Racing,PS,1999.0,Sony Computer Entertainment,T
Just Dance 2,Misc,Wii,2010.0,Ubisoft,E10+
Call of Duty: Ghosts,Shooter,PS3,2013.0,Activision,M
Call of Duty 4: Modern Warfare,Shooter,X360,2007.0,Activision,M
Animal Crossing: New Leaf,Simulation,3DS,2012.0,Nintendo,E
Mario Party DS,Misc,DS,2007.0,Nintendo,E
The Elder Scrolls V: Skyrim,Role-Playing,X360,2011.0,Bethesda Softworks,M
FIFA 16,Sports,PS4,2015.0,Electronic Arts,E
Halo 2,Shooter,XB,2004.0,Microsoft Game Studios,M
Wii Party,Misc,Wii,2010.0,Nintendo,E
Mario Party 8,Misc,Wii,2007.0,Nintendo,E
FIFA Soccer 13,Action,PS3,2012.0,Electronic Arts,E
Final Fantasy X,Role-Playing,PS2,2001.0,Sony Computer Entertainment,T
The Sims 3,Simulation,PC,2009.0,Electronic Arts,T
Final Fantasy VIII,Role-Playing,PS,1999.0,SquareSoft,T
Pokémon Platinum Version,Role-Playing,DS,2008.0,Nintendo,E
