name,genre,platform,user_score,critic_score,global_sales
Wii Sports,Sports,Wii,8.0,76.0,82.53
Mario Kart Wii,Racing,Wii,8.3,82.0,35.52
Wii Sports Resort,Sports,Wii,8.0,80.0,32.77
New Super Mario Bros.,Platform,DS,8.5,89.0,29.8
Wii Play,Misc,Wii,6.6,58.0,28.92
New Super Mario Bros. Wii,Platform,Wii,8.4,87.0,28.32
Mario Kart DS,Racing,DS,8.6,91.0,23.21
Wii Fit,Sports,Wii,7.7,80.0,22.7
Kinect Adventures!,Misc,X360,6.3,61.0,21.81
Wii Fit Plus,Sports,Wii,7.4,80.0,21.79
Grand Theft Auto V,Action,PS3,8.2,97.0,21.04
Grand Theft Auto: San Andreas,Action,PS2,9.0,95.0,20.81
Brain Age: Train Your Brain in Minutes a Day,Misc,DS,7.9,77.0,20.15
Grand Theft Auto V,Action,X360,8.1,97.0,16.27
Grand Theft Auto: Vice City,Action,PS2,8.7,95.0,16.15
Brain Age 2: More Training in Minutes a Day,Puzzle,DS,7.1,77.0,15.29
Gran Turismo 3: A-Spec,Racing,PS2,8.4,95.0,14.98
Call of Duty: Modern Warfare 3,Shooter,X360,3.4,88.0,14.73
Call of Duty: Black Ops,Shooter,X360,6.3,87.0,14.61
Call of Duty: Black Ops II,Shooter,PS3,5.3,83.0,13.79
Call of Duty: Black Ops II,Shooter,X360,4.8,83.0,13.67
Call of Duty: Modern Warfare 2,Shooter,X360,6.3,94.0,13.47
Call of Duty: Modern Warfare 3,Shooter,PS3,3.2,88.0,13.32
Grand Theft Auto III,Action,PS2,8.5,97.0,13.1
Super Smash Bros. Brawl,Fighting,Wii,8.9,93.0,12.84
Mario Kart 7,Racing,3DS,8.2,85.0,12.66
Call of Duty: Black Ops,Shooter,PS3,6.4,88.0,12.63
Grand Theft Auto V,Action,PS4,8.3,97.0,12.61
Animal Crossing: Wild World,Simulation,DS,8.7,86.0,12.13
Halo 3,Shooter,X360,7.8,94.0,12.12
Gran Turismo 4,Racing,PS2,8.5,89.0,11.66
Super Mario Galaxy,Platform,Wii,8.9,97.0,11.35
Grand Theft Auto IV,Action,X360,7.9,98.0,11.01
Gran Turismo,Racing,PS,8.7,96.0,10.95
Super Mario 3D Land,Platform,3DS,8.4,90.0,10.81
Gran Turismo 5,Racing,PS3,7.5,84.0,10.7
Call of Duty: Modern Warfare 2,Shooter,PS3,6.3,94.0,10.6
Grand Theft Auto IV,Action,PS3,7.5,98.0,10.5
Call of Duty: Ghosts,Shooter,X360,2.6,73.0,10.25
Just Dance 3,Misc,Wii,7.8,74.0,10.12
New Super Mario Bros. 2,Platform,3DS,7.2,78.0,9.9
Halo: Reach,Shooter,X360,7.9,91.0,9.86
Final Fantasy VII,Role-Playing,PS,9.2,92.0,9.72
Halo 4,Shooter,X360,7.0,87.0,9.71
Gran Turismo 2,Racing,PS,9.0,93.0,9.49
Just Dance 2,Misc,Wii,7.3,74.0,9.44
Call of Duty: Ghosts,Shooter,PS3,2.6,71.0,9.36
Call of Duty 4: Modern Warfare,Shooter,X360,8.4,94.0,9.31
Animal Crossing: New Leaf,Simulation,3DS,8.7,88.0,9.16
Mario Party DS,Misc,DS,7.8,72.0,8.91
The Elder Scrolls V: Skyrim,Role-Playing,X360,8.4,96.0,8.79
FIFA 16,Sports,PS4,4.3,82.0,8.57
Halo 2,Shooter,XB,8.2,95.0,8.49
Wii Party,Misc,Wii,7.4,68.0,8.38
Mario Party 8,Misc,Wii,6.3,62.0,8.27
FIFA Soccer 13,Action,PS3,6.6,88.0,8.16
Final Fantasy X,Role-Playing,PS2,8.7,92.0,8.05
The Sims 3,Simulation,PC,7.6,86.0,8.01
Final Fantasy VIII,Role-Playing,PS,8.6,90.0,7.86
Pokémon Platinum Version,Role-Playing,DS,8.5,83.0,7.72
Grand Theft Auto: Liberty City Stories,Action,PSP,7.6,88.0,7.69
Call of Duty: Advanced Warfare,Shooter,PS4,5.7,83.0,7.66
FIFA 17,Sports,PS4,5.0,85.0,7.59
Super Mario Galaxy 2,Platform,Wii,9.1,97.0,7.51
Call of Duty: World at War,Shooter,X360,7.6,84.0,7.38
Battlefield 3,Shooter,X360,7.4,84.0,7.32
Need for Speed Underground,Racing,PS2,8.6,85.0,7.2
Just Dance,Misc,Wii,8.0,49.0,7.2
Battlefield 3,Shooter,PS3,7.5,85.0,7.17
Fallout 4,Role-Playing,PS4,6.5,87.0,7.16
Tekken 3,Fighting,PS,9.1,96.0,7.16
The Legend of Zelda: Twilight Princess,Action,Wii,9.0,95.0,7.15
Crash Bandicoot 3: Warped,Platform,PS,8.9,91.0,7.13
Mario Kart 8,Racing,WiiU,9.1,88.0,7.09
Super Smash Bros. Melee,Fighting,GC,9.1,92.0,7.07
Need for Speed Underground 2,Racing,PS2,8.6,82.0,6.9
Medal of Honor: Frontline,Shooter,PS2,8.5,88.0,6.83
Just Dance 4,Misc,Wii,7.3,74.0,6.76
Gears of War 2,Shooter,X360,7.7,93.0,6.75
Uncharted 3: Drake's Deception,Action,PS3,8.3,92.0,6.74
Call of Duty 4: Modern Warfare,Shooter,PS3,8.4,94.0,6.68
Uncharted 2: Among Thieves,Action,PS3,8.8,96.0,6.66
Big Brain Academy,Misc,DS,7.4,74.0,6.62
Red Dead Redemption,Action,PS3,8.8,95.0,6.49
FIFA 14,Sports,PS3,4.3,86.0,6.47
Assassin's Creed III,Action,PS3,6.9,85.0,6.45
Donkey Kong Country Returns,Platform,Wii,8.6,87.0,6.44
Halo: Combat Evolved,Shooter,XB,8.6,97.0,6.43
The Elder Scrolls V: Skyrim,Role-Playing,PS3,6.4,92.0,6.41
Pokémon Emerald Version,Role-Playing,GBA,9.0,76.0,6.41
Kingdom Hearts,Role-Playing,PS2,8.8,85.0,6.4
Halo 3: ODST,Shooter,X360,7.1,83.0,6.34
Red Dead Redemption,Action,X360,9.0,95.0,6.32
Super Mario Sunshine,Platform,GC,8.6,92.0,6.31
World of Warcraft,Role-Playing,PC,7.3,93.0,6.29
Driver,Action,PS,8.1,87.0,6.27
Gears of War 3,Shooter,X360,7.8,91.0,6.21
Kinect Sports,Sports,X360,7.4,73.0,6.19
Gears of War,Shooter,X360,8.3,94.0,6.09
FIFA 15,Sports,PS4,5.7,82.0,6.08
Metal Gear Solid 2: Sons of Liberty,Action,PS2,8.7,96.0,6.05
Metal Gear Solid,Action,PS,9.4,94.0,6.03
Metal Gear Solid 4: Guns of the Patriots,Action,PS3,8.7,94.0,5.99
Final Fantasy XII,Role-Playing,PS2,7.6,92.0,5.95
The Last of Us,Action,PS3,9.1,95.0,5.87
LittleBigPlanet,Platform,PS3,6.8,95.0,5.82
Resident Evil 2,Action,PS,9.2,89.0,5.82
Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,DS,8.8,87.0,5.78
Tekken 2,Fighting,PS,8.9,89.0,5.74
Destiny,Shooter,PS4,6.1,76.0,5.64
LEGO Star Wars: The Complete Saga,Action,Wii,8.9,80.0,5.64
Cooking Mama,Simulation,DS,7.2,67.0,5.63
Assassin's Creed II,Action,PS3,8.6,91.0,5.55
Assassin's Creed,Adventure,X360,7.7,81.0,5.54
Forza Motorsport 3,Racing,X360,8.0,92.0,5.49
Super Mario Advance,Platform,GBA,7.8,84.0,5.49
Monster Hunter Freedom Unite,Role-Playing,PSP,8.7,81.0,5.48
Batman: Arkham City,Action,PS3,8.6,96.0,5.48
Grand Theft Auto V,Action,XOne,7.9,97.0,5.48
Mario Kart: Super Circuit,Racing,GBA,8.3,93.0,5.47
Crash Bandicoot: The Wrath of Cortex,Platform,PS2,7.1,66.0,5.42
Call of Duty: World at War,Shooter,PS3,7.6,85.0,5.39
Uncharted 4: A Thief's End,Shooter,PS4,7.9,93.0,5.38
Final Fantasy XIII,Role-Playing,PS3,7.3,83.0,5.33
Final Fantasy IX,Role-Playing,PS,8.9,94.0,5.3
Assassin's Creed III,Action,X360,6.7,84.0,5.29
Final Fantasy X-2,Role-Playing,PS2,6.6,85.0,5.29
Call of Duty: Advanced Warfare,Shooter,XOne,5.4,81.0,5.27
Assassin's Creed II,Action,X360,8.8,90.0,5.26
Madden NFL 2004,Sports,PS2,8.5,94.0,5.23
New Super Mario Bros. U,Platform,WiiU,8.1,84.0,5.22
Dragon Quest VIII: Journey of the Cursed King,Role-Playing,PS2,8.8,89.0,5.21
Professor Layton and the Curious Village,Puzzle,DS,8.6,85.0,5.19
FIFA Soccer 13,Action,X360,6.1,90.0,5.16
Diablo III,Role-Playing,PC,4.0,88.0,5.14
Medal of Honor: Rising Sun,Shooter,PS2,7.6,68.0,5.13
Guitar Hero II,Misc,PS2,8.5,92.0,5.12
Fable III,Role-Playing,X360,6.5,80.0,5.1
Resident Evil 5,Action,PS3,7.5,84.0,5.09
The Legend of Zelda: Phantom Hourglass,Action,DS,8.0,90.0,5.08
FIFA Soccer 11,Sports,PS3,8.0,89.0,5.07
Resident Evil,Action,PS,9.0,91.0,5.05
Grand Theft Auto: Vice City Stories,Action,PSP,8.0,86.0,5.03
Tony Hawk's Pro Skater,Sports,PS,9.2,92.0,5.02
Guitar Hero III: Legends of Rock,Misc,PS2,8.2,82.0,4.98
Link's Crossbow Training,Shooter,Wii,7.1,68.0,4.98
Fallout 3,Role-Playing,X360,8.5,93.0,4.93
Uncharted: Drake's Fortune,Action,PS3,8.1,88.0,4.92
Madden NFL 06,Sports,PS2,8.0,88.0,4.91
StarCraft II: Wings of Liberty,Strategy,PC,8.2,93.0,4.84
Assassin's Creed,Adventure,PS3,7.3,81.0,4.82
God of War III,Action,PS3,8.7,92.0,4.8
Crash Team Racing,Racing,PS,9.0,88.0,4.79
LEGO Star Wars: The Complete Saga,Action,DS,5.4,80.0,4.76
Driver 2,Action,PS,7.7,62.0,4.73
Batman: Arkham City,Action,X360,8.7,94.0,4.73
Tony Hawk's Pro Skater 2,Sports,PS,7.7,98.0,4.68
The Lord of the Rings: The Two Towers,Action,PS2,8.2,82.0,4.67
Tomb Raider,Action,PS,8.6,91.0,4.63
Animal Crossing: City Folk,Simulation,Wii,7.6,73.0,4.62
Uncharted: The Nathan Drake Collection,Action,PS4,8.1,86.0,4.62
The Legend of Zelda: The Wind Waker,Action,GC,8.9,96.0,4.6
Guitar Hero III: Legends of Rock,Misc,Wii,8.4,86.0,4.6
Luigi's Mansion: Dark Moon,Action,3DS,8.4,86.0,4.59
Forza Motorsport 4,Racing,X360,8.2,91.0,4.57
Madden NFL 2005,Sports,PS2,7.9,91.0,4.53
Guitar Hero III: Legends of Rock,Misc,X360,7.9,85.0,4.53
Madden NFL 07,Sports,PS2,8.2,84.0,4.49
Halo 5: Guardians,Shooter,XOne,6.4,84.0,4.48
Spider-Man: The Movie,Action,PS2,7.9,76.0,4.48
Call of Duty: Infinite Warfare,Shooter,PS4,3.4,77.0,4.46
God of War,Action,PS2,8.9,94.0,4.45
Splatoon,Shooter,WiiU,8.5,81.0,4.43
Nintendo Land,Misc,WiiU,7.9,77.0,4.42
